gene,ensg,condition,top_disease,overall_status,kd_ok,ontarget_significant,effect_size,n_downstream,program_contrast,program_adj_p,n_program_contrasts_sig,disease_OR,disease_FDR,n_disease_clusters,effect_term,program_term,disease_term,novelty_bonus,chain_score,effect_status,program_status,disease_status
ZMAT3,ENSG00000172667,Stim48hr,ankylosing spondylitis,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-11.7818,1.0,Th2_vs_Th1 (Ota 2021),4.195e-14,1,3.0531,0.0199,3,2.548,13.3773,2.4608,0.2,22.0634,supported,supported,supported
PDK1,ENSG00000152256,Stim48hr,autoimmune disease,"partial chain - effect:untested, program:supported, disease:supported",1,,,,Th2_vs_Th1 (Ota 2021),6.936e-16,1,1.9239,0.0239,1,0.0,15.1589,1.7548,0.3,21.9878,untested,supported,supported
ZMAT3,ENSG00000172667,Stim8hr,rheumatoid arthritis,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-9.7614,1.0,Th2_vs_Th1 (Ota 2021),4.195e-14,1,2.6365,0.0057,3,2.376,13.3773,2.5207,0.2,21.9287,supported,supported,supported
NAB2,ENSG00000166886,Stim8hr,atopic eczema,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-16.8816,301.0,Th2_vs_Th1 (Ota 2021),1.955e-13,1,3.8985,0.0028,4,2.5649,12.7089,3.2393,0.175,21.7529,supported,supported,supported
PRKCB,ENSG00000166501,Stim48hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-26.522,2.0,Th2_vs_Th1 (Ota 2021),7.432e-14,1,2.3196,0.002,7,2.5649,13.1289,2.5634,0.1429,20.8654,supported,supported,supported
PLEC,ENSG00000178209,Stim8hr,multiple sclerosis,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-6.637,4.0,Th2_vs_Th1 (Ota 2021),2.59e-12,2,2.893,0.0308,1,2.033,11.5867,2.2883,0.3,20.6804,supported,supported,supported
CEP57,ENSG00000166037,Stim8hr,asthma,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-7.4264,1.0,Th2_vs_Th1 (Ota 2021),1.145e-11,1,3.3018,0.0005511,2,2.1314,10.9412,3.3526,0.25,20.5315,supported,supported,supported
INPP4A,ENSG00000040933,Stim8hr,celiac disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-6.1628,4.0,Th2_vs_Th1 (Ota 2021),2.25e-11,1,4.3421,0.0204,1,1.9689,10.6478,2.9636,0.3,20.2544,supported,supported,supported
S100A11,ENSG00000163191,Stim8hr,atopic eczema,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-14.2139,16.0,Th2_vs_Th1 (Ota 2021),3.131e-11,1,2.9819,0.0314,1,2.5649,10.5043,2.3278,0.3,20.0161,supported,supported,supported
LRRC58,ENSG00000163428,Stim8hr,inflammatory bowel disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-16.9893,14.0,Th2_vs_Th1 (Ota 2021),1.261e-11,1,2.1056,0.0352,1,2.5649,10.8993,1.801,0.3,19.8448,supported,supported,supported
DUSP5,ENSG00000138166,Stim48hr,Crohn's disease,effect refuted: knockdown valid by gate but DE_stats shows no on-target effect,1,False,-3.6006,2.0,Th2_vs_Th1 (Ota 2021),5.131e-12,1,3.956,0.0006502,3,1.5262,11.2898,3.5775,0.2,19.6722,refuted,supported,supported
STAT1,ENSG00000115415,Stim48hr,rheumatoid arthritis,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-15.5054,1.0,Th2_vs_Th1 (Ota 2021),1.193e-12,1,2.8071,0.0025,9,2.5649,11.9234,2.7901,0.1333,19.5822,supported,supported,supported
FRMD4B,ENSG00000114541,Stim8hr,ankylosing spondylitis,effect refuted: knockdown valid by gate but DE_stats shows no on-target effect,1,False,-0.7866,0.0,Th2_vs_Th1 (Ota 2021),9.826e-13,1,3.6295,0.0066,2,0.5803,12.0076,2.95,0.25,19.4224,refuted,supported,supported
CDKN3,ENSG00000100526,Stim8hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-11.4179,0.0,Th2_vs_Th1 (Ota 2021),2.398e-11,1,1.926,0.0255,1,2.5191,10.6202,1.7423,0.3,19.3461,supported,supported,supported
TCF7,ENSG00000081059,Stim8hr,rheumatoid arthritis,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-6.1245,2.0,Th2_vs_Th1 (Ota 2021),7.738e-13,1,3.0478,0.0018,12,1.9635,12.1114,2.9801,0.125,19.1869,supported,supported,supported
ATP8B2,ENSG00000143515,Stim8hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-9.387,7.0,Th2_vs_Th1 (Ota 2021),8.263e-09,1,3.0405,5.05e-06,1,2.3406,8.0829,4.2527,0.3,19.0789,supported,supported,supported
STMN3,ENSG00000197457,Rest,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-5.7405,0.0,Th2_vs_Th1 (Ota 2021),1.489e-12,1,2.0975,0.0068,3,1.9081,11.8271,2.1524,0.2,19.0652,supported,supported,supported
TAGAP,ENSG00000164691,Stim48hr,Crohn's disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-5.0392,1.0,Th2_vs_Th1 (Ota 2021),1.247e-12,1,3.2947,0.0095,5,1.7983,11.9041,2.7313,0.16,19.0631,supported,supported,supported
DUSP5,ENSG00000138166,Stim8hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-8.7739,4.0,Th2_vs_Th1 (Ota 2021),5.131e-12,1,2.5487,0.0003376,10,2.2797,11.2898,3.0856,0.13,18.8202,supported,supported,supported
IKBKE,ENSG00000263528,Stim8hr,asthma,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-9.9095,0.0,Th2_vs_Th1 (Ota 2021),1.167e-11,1,3.0645,0.0018,6,2.3896,10.9329,2.988,0.15,18.7572,supported,supported,supported
SPATS2L,ENSG00000196141,Stim8hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-7.837,1.0,Th2_vs_Th1 (Ota 2021),4.596e-11,1,2.5487,0.0003376,3,2.1789,10.3376,3.0856,0.2,18.7226,supported,supported,supported
ERAP1,ENSG00000164307,Stim8hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-19.3979,3.0,Th2_vs_Th1 (Ota 2021),2.792e-11,1,1.9783,0.0184,2,2.5649,10.5541,1.8519,0.25,18.7136,supported,supported,supported
CSF2,ENSG00000164400,Stim8hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-10.923,0.0,Th2_vs_Th1 (Ota 2021),2.113e-10,1,3.0405,5.05e-06,9,2.4785,9.6751,4.2527,0.1333,18.5937,supported,supported,supported
STMN3,ENSG00000197457,Stim8hr,autoimmune disease,effect refuted: knockdown valid by gate but DE_stats shows no on-target effect,1,False,-2.8984,0.0,Th2_vs_Th1 (Ota 2021),1.489e-12,1,2.2219,0.005,3,1.3606,11.8271,2.3023,0.2,18.588,refuted,supported,supported
RNF125,ENSG00000101695,Stim8hr,asthma,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-11.2208,1.0,Th2_vs_Th1 (Ota 2021),1.372e-09,1,3.3018,0.0005511,2,2.5031,8.8626,3.3526,0.25,18.398,supported,supported,supported
IER5L,ENSG00000188483,Stim8hr,atopic eczema,effect refuted: knockdown valid by gate but DE_stats shows no on-target effect,1,False,-2.9089,1.0,Th2_vs_Th1 (Ota 2021),5.033e-11,1,2.9819,0.0404,1,1.3633,10.2982,2.273,0.3,18.1148,refuted,supported,supported
SMAD2,ENSG00000175387,Stim8hr,asthma,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-20.7495,0.0,Th2_vs_Th1 (Ota 2021),7.54e-10,1,3.3018,0.0005511,3,2.5649,9.1226,3.3526,0.2,18.0483,supported,supported,supported
CD28,ENSG00000178562,Rest,rheumatoid arthritis,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-24.9682,4.0,Th2_vs_Th1 (Ota 2021),4.601e-11,1,2.9229,0.0045,6,2.5649,10.3371,2.7208,0.15,17.9663,supported,supported,supported
CD28,ENSG00000178562,Stim8hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-22.406,1505.0,Th2_vs_Th1 (Ota 2021),4.601e-11,1,2.5487,0.0003376,18,2.5649,10.3371,3.0856,0.1167,17.8529,supported,supported,supported
IER5L,ENSG00000188483,Rest,atopic eczema,effect refuted: knockdown valid by gate but DE_stats shows no on-target effect,1,False,-2.4057,0.0,Th2_vs_Th1 (Ota 2021),5.033e-11,1,2.7641,0.0496,1,1.2255,10.2982,2.1191,0.3,17.7355,refuted,supported,supported
UFM1,ENSG00000120686,Stim8hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-32.6117,2278.0,Th2_vs_Th1 (Ota 2021),2.034e-10,1,2.2219,0.0025,3,2.5649,9.6916,2.4528,0.2,17.6513,supported,supported,supported
RASA3,ENSG00000185989,Stim8hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-9.2,9.0,Th2_vs_Th1 (Ota 2021),1.151e-07,1,3.0405,5.05e-06,1,2.3224,6.9389,4.2527,0.3,17.5682,supported,supported,supported
RNF125,ENSG00000101695,Stim48hr,asthma,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-12.5847,2.0,Th2_vs_Th1 (Ota 2021),1.372e-09,1,2.3613,0.0318,1,2.5649,8.8626,1.9884,0.3,17.4408,supported,supported,supported
VEGFB,ENSG00000173511,Stim8hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-15.456,1.0,Th2_vs_Th1 (Ota 2021),7.757e-08,1,3.0405,5.05e-06,2,2.5649,7.1103,4.2527,0.25,17.4099,supported,supported,supported
CD28,ENSG00000178562,Stim48hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-18.4759,1797.0,Th2_vs_Th1 (Ota 2021),4.601e-11,1,2.3196,0.002,15,2.5649,10.3371,2.5634,0.12,17.3213,supported,supported,supported
MYB,ENSG00000118513,Stim8hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-12.6129,1024.0,Th2_vs_Th1 (Ota 2021),3.212e-08,1,3.0405,5.05e-06,3,2.5649,7.4932,4.2527,0.2,17.173,supported,supported,supported
GPR18,ENSG00000125245,Rest,Crohn's disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-7.126,0.0,Th2_vs_Th1 (Ota 2021),2.173e-09,1,4.651,0.0001227,8,2.0951,8.6629,4.1731,0.1375,16.9842,supported,supported,supported
KCNQ1,ENSG00000053918,Stim48hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-4.5886,1.0,Th2_vs_Th1 (Ota 2021),1.905e-09,2,2.3196,0.002,1,1.7207,8.7201,2.5634,0.3,16.9055,supported,supported,supported
NAMPT,ENSG00000105835,Stim8hr,asthma,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-14.4572,25.0,Th2_vs_Th1 (Ota 2021),7.069e-09,1,3.3018,0.0005511,3,2.5649,8.1506,3.3526,0.2,16.8819,supported,supported,supported
FADS2,ENSG00000134824,Stim48hr,Crohn's disease,consistent with a validated gene -> program -> disease chain re-derived from the tables (with caveats),1,True,-30.979,2.0,Th2_vs_Th1 (Ota 2021),1.511e-09,1,3.956,0.0006502,14,2.5649,8.8207,3.5775,0.1214,16.7802,flagged,supported,supported
COL6A3,ENSG00000163359,Stim8hr,asthma,effect refuted: knockdown valid by gate but DE_stats shows no on-target effect,1,False,-2.6204,0.0,Th2_vs_Th1 (Ota 2021),2.667e-10,1,2.3974,0.0296,1,1.2866,9.574,2.0258,0.3,16.7523,refuted,supported,supported
PHLDA1,ENSG00000139289,Stim8hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-12.9828,0.0,Th2_vs_Th1 (Ota 2021),3.961e-08,1,3.0405,5.05e-06,4,2.5649,7.4022,4.2527,0.175,16.7083,supported,supported,supported
FADS2,ENSG00000134824,Stim8hr,Crohn's disease,consistent with a validated gene -> program -> disease chain re-derived from the tables (with caveats),1,True,-11.8744,2.0,Th2_vs_Th1 (Ota 2021),1.511e-09,1,3.6625,0.0031,6,2.5552,8.8207,3.1271,0.15,16.6786,flagged,supported,supported
CD244,ENSG00000122223,Rest,Crohn's disease,effect refuted: knockdown valid by gate but DE_stats shows no on-target effect,1,False,0.0,62.0,Th2_vs_Th1 (Ota 2021),1.915e-10,1,4.651,0.0001227,3,0.0,9.7178,4.1731,0.2,16.6691,refuted,supported,supported
ADGRE5,ENSG00000123146,Stim8hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-18.3566,1.0,Th2_vs_Th1 (Ota 2021),1.38e-09,1,2.2219,0.0025,3,2.5649,8.8601,2.4528,0.2,16.6535,supported,supported,supported
PIM3,ENSG00000198355,Stim8hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-7.8351,2.0,Th2_vs_Th1 (Ota 2021),6.071e-10,1,2.2219,0.0025,3,2.1787,9.2167,2.4528,0.2,16.618,supported,supported,supported
CSF2,ENSG00000164400,Stim48hr,rheumatoid arthritis,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-7.8104,9.0,Th2_vs_Th1 (Ota 2021),2.113e-10,1,2.8071,0.0025,9,2.1759,9.6751,2.7901,0.1333,16.5933,supported,supported,supported
CEP128,ENSG00000100629,Stim48hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-20.7994,0.0,Th2_vs_Th1 (Ota 2021),1.371e-09,1,1.9239,0.0239,2,2.5649,8.863,1.7548,0.25,16.4784,supported,supported,supported
ANXA11,ENSG00000122359,Stim8hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-36.4246,0.0,Th2_vs_Th1 (Ota 2021),9.844e-10,1,2.2219,0.005,4,2.5649,9.0068,2.3023,0.175,16.3021,supported,supported,supported
LGALS9,ENSG00000168961,Rest,Crohn's disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-9.4929,0.0,Th2_vs_Th1 (Ota 2021),3.406e-07,1,4.651,0.0001227,2,2.3507,6.4678,4.1731,0.25,16.2395,supported,supported,supported
EAF2,ENSG00000145088,Stim8hr,asthma,consistent with a validated gene -> program -> disease chain re-derived from the tables (with caveats),1,True,-11.3728,1.0,Th2_vs_Th1 (Ota 2021),4.301e-05,1,20.424,4.971e-05,3,2.5155,4.3664,6.504,0.2,16.0631,flagged,supported,supported
ICOS,ENSG00000163600,Stim48hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-12.3368,69.0,Th2_vs_Th1 (Ota 2021),6.576e-09,2,1.9239,0.0478,1,2.5649,8.182,1.6043,0.3,16.0567,supported,supported,supported
LRRC32,ENSG00000137507,Stim8hr,atopic eczema,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-5.3466,1.0,Th2_vs_Th1 (Ota 2021),4.671e-08,1,4.8979,0.0005224,3,1.8479,7.3306,3.9332,0.2,15.734,supported,supported,supported
PHLDA1,ENSG00000139289,Rest,ankylosing spondylitis,effect refuted: knockdown valid by gate but DE_stats shows no on-target effect,1,False,-4.3155,0.0,Th2_vs_Th1 (Ota 2021),3.961e-08,1,4.6227,0.0303,1,1.6706,7.4022,2.968,0.3,15.6531,refuted,supported,supported
PHC1,ENSG00000111752,Stim8hr,rheumatoid arthritis,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-5.514,1.0,Th2_vs_Th1 (Ota 2021),2.523e-09,1,2.2506,0.0288,2,1.874,8.5981,1.9406,0.25,15.5158,supported,supported,supported
GPR18,ENSG00000125245,Stim8hr,asthma,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-8.7174,0.0,Th2_vs_Th1 (Ota 2021),2.173e-09,1,2.6126,0.0224,4,2.2739,8.6629,2.2104,0.175,15.448,supported,supported,supported
RBPJ,ENSG00000168214,Stim8hr,Crohn's disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-19.6347,56.0,Th2_vs_Th1 (Ota 2021),1.109e-07,1,2.9314,0.0255,1,2.5649,6.9551,2.3483,0.3,15.4288,supported,supported,supported
CYFIP2,ENSG00000055163,Stim8hr,asthma,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-11.3542,1.0,Th2_vs_Th1 (Ota 2021),8.959e-08,1,2.5496,0.0184,1,2.514,7.0477,2.2179,0.3,15.3135,supported,supported,supported
MYO1B,ENSG00000128641,Stim8hr,asthma,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-5.1639,2.0,Th2_vs_Th1 (Ota 2021),1.285e-07,1,3.0645,0.0018,1,1.8187,6.8911,2.988,0.3,15.2072,supported,supported,supported
SPNS3,ENSG00000182557,Rest,rheumatoid arthritis,effect refuted: knockdown valid by gate but DE_stats shows no on-target effect,1,False,-2.532,0.0,Th2_vs_Th1 (Ota 2021),9.436e-10,1,2.1213,0.034,2,1.2619,9.0252,1.8192,0.25,15.1329,refuted,supported,supported
CYFIP2,ENSG00000055163,Stim48hr,asthma,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-17.0654,2.0,Th2_vs_Th1 (Ota 2021),8.959e-08,1,2.3613,0.0318,1,2.5649,7.0477,1.9884,0.3,15.0814,supported,supported,supported
IL7R,ENSG00000168685,Stim8hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-3.6042,811.0,Th2_vs_Th1 (Ota 2021),2.109e-08,1,3.0405,5.05e-06,21,1.527,7.6759,4.2527,0.1143,14.9933,supported,supported,supported
ITGAM,ENSG00000169896,Stim48hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-4.9559,1.0,Th2_vs_Th1 (Ota 2021),1.027e-08,2,1.9239,0.0239,1,1.7844,7.9884,1.7548,0.3,14.9859,supported,supported,supported
REXO2,ENSG00000076043,Rest,inflammatory bowel disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-28.2223,0.0,Th2_vs_Th1 (Ota 2021),4.184e-07,1,2.9079,0.0012,2,2.5649,6.3784,3.0004,0.25,14.9297,supported,supported,supported
LRBA,ENSG00000198589,Stim8hr,rheumatoid arthritis,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-17.7328,2992.0,Th2_vs_Th1 (Ota 2021),4.011e-07,1,3.0478,0.0018,2,2.5649,6.3967,2.9801,0.25,14.9273,supported,supported,supported
PHLDA1,ENSG00000139289,Stim48hr,ankylosing spondylitis,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-8.5522,0.0,Th2_vs_Th1 (Ota 2021),3.961e-08,1,3.3994,0.0115,3,2.2568,7.4022,2.7349,0.2,14.8727,supported,supported,supported
SYPL1,ENSG00000008282,Stim48hr,asthma,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-13.9848,2.0,Th2_vs_Th1 (Ota 2021),4.171e-08,1,2.5622,0.0095,3,2.5649,7.3798,2.3685,0.2,14.7759,supported,supported,supported
MLKL,ENSG00000168404,Stim8hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-24.4077,36.0,Th2_vs_Th1 (Ota 2021),9.431e-08,1,1.8335,0.0253,1,2.5649,7.0254,1.673,0.3,14.6425,supported,supported,supported
MYB,ENSG00000118513,Stim48hr,asthma,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-11.5812,1221.0,Th2_vs_Th1 (Ota 2021),3.212e-08,1,2.5622,0.0095,4,2.5322,7.4932,2.3685,0.175,14.5629,supported,supported,supported
ELOVL4,ENSG00000118402,Stim48hr,autoimmune disease,effect refuted: knockdown valid by gate but DE_stats shows no on-target effect,1,False,-2.7348,1.0,Th2_vs_Th1 (Ota 2021),6.513e-09,1,2.3196,0.002,3,1.3177,8.1862,2.5634,0.2,14.4807,refuted,supported,supported
KLF3,ENSG00000109787,Stim8hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-4.1979,8.0,Th2_vs_Th1 (Ota 2021),4.092e-07,1,3.0405,5.05e-06,4,1.6483,6.3881,4.2527,0.175,14.4396,supported,supported,supported
REXO2,ENSG00000076043,Stim8hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-35.1683,0.0,Th2_vs_Th1 (Ota 2021),4.184e-07,1,2.5487,0.0003376,3,2.5649,6.3784,3.0856,0.2,14.4347,supported,supported,supported
IL4,ENSG00000113520,Stim48hr,atopic eczema,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-5.6505,2.0,Th2_vs_Th1 (Ota 2021),7.392e-08,1,4.5639,0.0038,5,1.8947,7.1312,3.4004,0.16,14.4145,supported,supported,supported
CTH,ENSG00000116761,Stim48hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-12.9238,153.0,Th2_vs_Th1 (Ota 2021),8.568e-09,1,2.018,0.0124,7,2.5649,8.0671,1.9662,0.1429,14.398,supported,supported,supported
CCR7,ENSG00000126353,Stim8hr,atopic eczema,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-11.5229,2.0,Th2_vs_Th1 (Ota 2021),3.076e-06,1,3.8545,0.0123,1,2.5276,5.512,2.9016,0.3,14.2235,supported,supported,supported
AGPAT2,ENSG00000169692,Stim8hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-5.7728,0.0,Th2_vs_Th1 (Ota 2021),2.296e-07,1,2.2219,0.005,1,1.9129,6.639,2.3023,0.3,14.1105,supported,supported,supported
FAM184A,ENSG00000111879,Stim8hr,type 1 diabetes mellitus,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-11.0564,0.0,Th2_vs_Th1 (Ota 2021),6.59e-07,1,2.7316,0.0352,1,2.4896,6.1811,2.1765,0.3,14.1013,supported,supported,supported
STAT3,ENSG00000168610,Stim48hr,Crohn's disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-14.5698,1592.0,Th2_vs_Th1 (Ota 2021),3.798e-07,1,3.956,0.0006502,15,2.5649,6.4204,3.5775,0.12,14.0705,supported,supported,supported
LRRC32,ENSG00000137507,Stim48hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-5.512,2.0,Th2_vs_Th1 (Ota 2021),4.671e-08,1,2.2157,0.0025,3,1.8736,7.3306,2.4488,0.2,13.9836,supported,supported,supported
CPPED1,ENSG00000103381,Stim48hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-16.4197,0.0,Th2_vs_Th1 (Ota 2021),2.093e-07,1,2.3196,0.002,4,2.5649,6.6792,2.5634,0.175,13.8739,supported,supported,supported
RASA3,ENSG00000185989,Stim48hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-11.9356,30.0,Th2_vs_Th1 (Ota 2021),1.151e-07,1,2.3196,0.002,6,2.56,6.9389,2.5634,0.15,13.8716,supported,supported,supported
JADE2,ENSG00000043143,Stim8hr,rheumatoid arthritis,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-4.6371,38.0,Th2_vs_Th1 (Ota 2021),1.509e-07,1,3.0478,0.0018,3,1.7294,6.8213,2.9801,0.2,13.837,supported,supported,supported
STAT3,ENSG00000168610,Stim8hr,Crohn's disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-17.6341,1369.0,Th2_vs_Th1 (Ota 2021),3.798e-07,1,3.6625,0.0031,8,2.5649,6.4204,3.1271,0.1375,13.778,supported,supported,supported
ANXA1,ENSG00000135046,Stim48hr,type 1 diabetes mellitus,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-10.2552,4.0,Th2_vs_Th1 (Ota 2021),3.63e-06,1,3.4347,0.0277,1,2.4208,5.4401,2.5589,0.3,13.5458,supported,supported,supported
CXCR4,ENSG00000121966,Stim8hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-11.088,0.0,Th2_vs_Th1 (Ota 2021),1.409e-06,1,2.5487,0.0003376,4,2.4922,5.8511,3.0856,0.175,13.4289,supported,supported,supported
UBASH3B,ENSG00000154127,Stim8hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-11.6913,0.0,Th2_vs_Th1 (Ota 2021),0.0001155,1,3.0405,5.05e-06,2,2.5409,3.9374,4.2527,0.25,13.4137,supported,supported,supported
FADS1,ENSG00000149485,Stim48hr,Crohn's disease,consistent with a validated gene -> program -> disease chain re-derived from the tables (with caveats),1,True,-24.6064,9.0,Th2_vs_Th1 (Ota 2021),5.687e-07,1,3.2947,0.0095,6,2.5649,6.2451,2.7313,0.15,13.2726,flagged,supported,supported
IL4,ENSG00000113520,Stim8hr,asthma,effect refuted: knockdown valid by gate but DE_stats shows no on-target effect,1,False,-3.571,10.0,Th2_vs_Th1 (Ota 2021),7.392e-08,1,2.5496,0.0184,3,1.5197,7.1312,2.2179,0.2,13.0426,refuted,supported,supported
STAT5A,ENSG00000126561,Stim8hr,asthma,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-23.7671,18.0,Th2_vs_Th1 (Ota 2021),3.539e-05,1,3.0645,0.0018,1,2.5649,4.4511,2.988,0.3,13.0053,supported,supported,supported
IL7R,ENSG00000168685,Stim48hr,rheumatoid arthritis,effect refuted: knockdown valid by gate but DE_stats shows no on-target effect,1,False,-1.6832,99.0,Th2_vs_Th1 (Ota 2021),2.109e-08,1,2.8071,0.0025,9,0.987,7.6759,2.7901,0.1333,12.9801,refuted,supported,supported
ARHGEF3,ENSG00000163947,Stim8hr,asthma,effect refuted: knockdown valid by gate but DE_stats shows no on-target effect,1,False,0.0,0.0,Th2_vs_Th1 (Ota 2021),2.202e-08,1,2.6126,0.0224,1,0.0,7.6572,2.2104,0.3,12.8278,refuted,supported,supported
CNN2,ENSG00000064666,Stim8hr,asthma,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-12.8221,5.0,Th2_vs_Th1 (Ota 2021),1.99e-06,1,2.1891,0.02,2,2.5649,5.7011,1.9798,0.25,12.8074,supported,supported,supported
HDAC4,ENSG00000068024,Stim8hr,ankylosing spondylitis,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-13.8692,0.0,Th2_vs_Th1 (Ota 2021),2.385e-06,1,2.9054,0.0253,3,2.5649,5.6225,2.3372,0.2,12.6296,supported,supported,supported
PTP4A3,ENSG00000184489,Stim8hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-4.9849,3.0,Th2_vs_Th1 (Ota 2021),1.18e-06,1,2.12,0.0029,2,1.7892,5.9281,2.3529,0.25,12.5878,supported,supported,supported
INPP5A,ENSG00000068383,Stim48hr,ulcerative colitis,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-11.3021,1.0,Th2_vs_Th1 (Ota 2021),2.091e-06,2,3.2147,0.0117,2,2.5098,5.6796,2.6506,0.15,12.466,supported,supported,supported
KLF3,ENSG00000109787,Stim48hr,autoimmune disease,effect refuted: knockdown valid by gate but DE_stats shows no on-target effect,1,False,-3.1416,0.0,Th2_vs_Th1 (Ota 2021),4.092e-07,1,1.9239,0.0239,1,1.4211,6.3881,1.7548,0.3,12.4332,refuted,supported,supported
